   0.539,  6.845
   0.527,  6.838
   0.266,  5.220
   0.261,  5.212
   0.254,  5.196
   0.144,  5.311
   0.146,  5.306
   0.170,  5.303
  -0.069,  7.975
  -0.065,  7.963
  -0.060,  7.961
  -0.036,  8.004
  -0.041,  8.011
  -0.041,  8.016
  -0.244,  7.832
  -0.261,  7.851
  -0.271,  7.860
  -0.393,  7.928
  -0.400,  7.932
  -0.393,  7.951
  -0.352,  7.913
  -0.357,  7.930
  -0.373,  7.923
  -0.357,  7.846
  -0.354,  7.860
  -0.352,  7.875
  -0.290,  7.853
  -0.309,  7.841
  -0.304,  7.844
  -0.429,  7.858
  -0.426,  7.853
  -0.417,  7.853
  -0.424,  7.901
  -0.409,  7.882
  -0.409,  7.870
  -0.359,  7.863
  -0.350,  7.860
  -0.347,  7.872
  -0.472,  7.896
  -0.457,  7.896
  -0.448,  7.882
  -0.443,  7.844
  -0.445,  7.848
  -0.419,  7.851
  -0.366,  7.848
  -0.359,  7.837
  -0.350,  7.841
  -0.326,  7.408
  -0.323,  7.403
  -0.306,  7.410
  -0.323,  7.382
  -0.321,  7.389
  -0.318,  7.389
  -0.283,  7.384
  -0.285,  7.389
  -0.287,  7.391
  -0.141,  7.135
  -0.115,  7.142
  -0.127,  7.147
  -0.414,  7.815
  -0.402,  7.832
  -0.409,  7.834
  -0.893,  7.549
  -1.018,  7.643
  -0.153,  7.140
  -0.184,  7.166
  -0.184,  7.154
  -0.752,  7.166
  -1.642,  7.046
  -1.381,  7.264
  -0.010,  6.570
  -0.065,  6.584
  -0.105,  6.563
  -0.117,  6.740
  -0.115,  6.685
  -0.101,  6.635
  -0.163,  6.675
  -0.156,  6.697
  -0.132,  6.757
   0.931,  6.704
   0.860,  6.745
   0.900,  6.733
   0.211, -0.101
   0.175, -0.067
   0.204, -0.077
